state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Illinois,2014,6,0,0.0,0.0
Illinois,2014,7,0,0.0,0.0
Illinois,2014,8,0,0.0,0.0
Illinois,2014,9,0,0.0,0.0
Illinois,2014,10,0,0.0,0.0
Illinois,2014,11,267,18.0,351203.75
Illinois,2014,12,135,11.0,146156.75
Indiana,2014,0,248,19.75,313434.0
Indiana,2014,1,0,0.0,0.0
Indiana,2014,2,0,0.0,0.0
Indiana,2014,3,0,0.0,0.0
Indiana,2014,4,0,0.0,0.0
Indiana,2014,5,0,0.0,0.0
Indiana,2014,6,0,0.0,0.0
Indiana,2014,7,0,0.0,0.0
Indiana,2014,8,0,0.0,0.0
Indiana,2014,9,0,0.0,0.0
Indiana,2014,10,0,0.0,0.0
Indiana,2014,11,173,19.75,230773.5
Indiana,2014,12,75,13.0,82660.5
Iowa,2014,0,52,5.0,68835.5
Iowa,2014,1,0,0.0,0.0
Iowa,2014,2,0,0.0,0.0
Iowa,2014,3,0,0.0,0.0
Iowa,2014,4,0,0.0,0.0
Iowa,2014,5,0,0.0,0.0
Iowa,2014,6,0,0.0,0.0
Iowa,2014,7,0,0.0,0.0
Iowa,2014,8,0,0.0,0.0
Iowa,2014,9,0,0.0,0.0
Iowa,2014,10,0,0.0,0.0
Iowa,2014,11,31,5.0,51249.0
Iowa,2014,12,21,3.0,17586.5
Kansas,2014,0,25,2.25,13852.5
Kansas,2014,1,0,0.0,0.0
Kansas,2014,2,0,0.0,0.0
Kansas,2014,3,0,0.0,0.0
Kansas,2014,4,0,0.0,0.0
Kansas,2014,5,0,0.0,0.0
Kansas,2014,6,0,0.0,0.0
Kansas,2014,7,0,0.0,0.0
Kansas,2014,8,0,0.0,0.0
Kansas,2014,9,0,0.0,0.0
Kansas,2014,10,0,0.0,0.0
Kansas,2014,11,20,2.25,8833.0
Kansas,2014,12,5,1.5,5019.5
Kentucky,2014,0,227,15.0,352207.5
Kentucky,2014,1,0,0.0,0.0
Kentucky,2014,2,0,0.0,0.0
Kentucky,2014,3,0,0.0,0.0
Kentucky,2014,4,0,0.0,0.0
Kentucky,2014,5,0,0.0,0.0
Kentucky,2014,6,0,0.0,0.0
Kentucky,2014,7,0,0.0,0.0
Kentucky,2014,8,0,0.0,0.0
Kentucky,2014,9,0,0.0,0.0
Kentucky,2014,10,0,0.0,0.0
Kentucky,2014,11,144,15.0,234253.0
Kentucky,2014,12,83,7.5,117954.5
Louisiana,2014,0,473,28.75,565425.5
Louisiana,2014,1,0,0.0,0.0
Louisiana,2014,2,0,0.0,0.0
Louisiana,2014,3,0,0.0,0.0
Louisiana,2014,4,0,0.0,0.0
Louisiana,2014,5,0,0.0,0.0
Louisiana,2014,6,0,0.0,0.0
Louisiana,2014,7,0,0.0,0.0
Louisiana,2014,8,0,0.0,0.0
Louisiana,2014,9,0,0.0,0.0
Louisiana,2014,10,0,0.0,0.0
Louisiana,2014,11,271,24.25,315825.75
Louisiana,2014,12,202,28.75,249599.75
Maine,2014,0,268,100.25,9401067.75
Maine,2014,1,0,0.0,0.0
Maine,2014,2,0,0.0,0.0
Maine,2014,3,0,0.0,0.0
Maine,2014,4,0,0.0,0.0
Maine,2014,5,0,0.0,0.0
Maine,2014,6,0,0.0,0.0
Maine,2014,7,0,0.0,0.0
Maine,2014,8,0,0.0,0.0
Maine,2014,9,0,0.0,0.0
Maine,2014,10,0,0.0,0.0
Maine,2014,11,160,100.25,9228341.5
Maine,2014,12,108,12.75,172726.25
Maryland,2014,0,233,8.5,228555.25
Maryland,2014,1,0,0.0,0.0
Maryland,2014,2,0,0.0,0.0
Maryland,2014,3,0,0.0,0.0
Maryland,2014,4,0,0.0,0.0
Maryland,2014,5,0,0.0,0.0
Maryland,2014,6,0,0.0,0.0
Maryland,2014,7,0,0.0,0.0
Maryland,2014,8,0,0.0,0.0
Maryland,2014,9,0,0.0,0.0
Maryland,2014,10,0,0.0,0.0
Maryland,2014,11,138,8.5,113681.25
Maryland,2014,12,95,8.25,114874.0
Massachusetts,2014,0,386,70.5,1396331.75
Massachusetts,2014,1,0,0.0,0.0
Massachusetts,2014,2,0,0.0,0.0
Massachusetts,2014,3,0,0.0,0.0
Massachusetts,2014,4,0,0.0,0.0
Massachusetts,2014,5,0,0.0,0.0
Massachusetts,2014,6,0,0.0,0.0
Massachusetts,2014,7,0,0.0,0.0
Massachusetts,2014,8,0,0.0,0.0
Massachusetts,2014,9,0,0.0,0.0
Massachusetts,2014,10,0,0.0,0.0
Massachusetts,2014,11,229,70.5,1244131.0
Massachusetts,2014,12,157,16.5,152200.75
Michigan,2014,0,581,49.0,4030271.25
Michigan,2014,1,0,0.0,0.0
Michigan,2014,2,0,0.0,0.0
Michigan,2014,3,0,0.0,0.0
Michigan,2014,4,0,0.0,0.0
Michigan,2014,5,0,0.0,0.0
Michigan,2014,6,0,0.0,0.0
Michigan,2014,7,0,0.0,0.0
Michigan,2014,8,0,0.0,0.0
Michigan,2014,9,0,0.0,0.0
Michigan,2014,10,0,0.0,0.0
Michigan,2014,11,392,49.0,3601210.75
Michigan,2014,12,189,14.25,429060.5
Minnesota,2014,0,107,8.25,122964.0
Minnesota,2014,1,0,0.0,0.0
Minnesota,2014,2,0,0.0,0.0
Minnesota,2014,3,0,0.0,0.0
Minnesota,2014,4,0,0.0,0.0
Minnesota,2014,5,0,0.0,0.0
Minnesota,2014,6,0,0.0,0.0
Minnesota,2014,7,0,0.0,0.0
Minnesota,2014,8,0,0.0,0.0
Minnesota,2014,9,0,0.0,0.0
Minnesota,2014,10,0,0.0,0.0
Minnesota,2014,11,71,7.25,72437.75
Minnesota,2014,12,36,8.25,50526.25
Mississippi,2014,0,106,20.75,198466.25
Mississippi,2014,1,0,0.0,0.0
Mississippi,2014,2,0,0.0,0.0
Mississippi,2014,3,0,0.0,0.0
Mississippi,2014,4,0,0.0,0.0
Mississippi,2014,5,0,0.0,0.0
Mississippi,2014,6,0,0.0,0.0
Mississippi,2014,7,0,0.0,0.0
Mississippi,2014,8,0,0.0,0.0
Mississippi,2014,9,0,0.0,0.0
Mississippi,2014,10,0,0.0,0.0
Mississippi,2014,11,58,20.25,68943.0
Mississippi,2014,12,48,20.75,129523.25
Missouri,2014,0,94,11.25,104972.5
Missouri,2014,1,0,0.0,0.0
Missouri,2014,2,0,0.0,0.0
Missouri,2014,3,0,0.0,0.0
Missouri,2014,4,0,0.0,0.0
Missouri,2014,5,0,0.0,0.0
Missouri,2014,6,0,0.0,0.0
Missouri,2014,7,0,0.0,0.0
Missouri,2014,8,0,0.0,0.0
Missouri,2014,9,0,0.0,0.0
Missouri,2014,10,0,0.0,0.0
Missouri,2014,11,70,8.75,73636.0
Missouri,2014,12,24,11.25,31336.5
Montana,2014,0,22,26.5,77730.5
Montana,2014,1,0,0.0,0.0
Montana,2014,2,0,0.0,0.0
Montana,2014,3,0,0.0,0.0
Montana,2014,4,0,0.0,0.0
Montana,2014,5,0,0.0,0.0
Montana,2014,6,0,0.0,0.0
Montana,2014,7,0,0.0,0.0
Montana,2014,8,0,0.0,0.0
Montana,2014,9,0,0.0,0.0
Montana,2014,10,0,0.0,0.0
Montana,2014,11,9,26.5,56130.5
Montana,2014,12,13,6.0,21600.0
Nebraska,2014,0,6,4.75,6048.25
Nebraska,2014,1,0,0.0,0.0
Nebraska,2014,2,0,0.0,0.0
Nebraska,2014,3,0,0.0,0.0
Nebraska,2014,4,0,0.0,0.0
Nebraska,2014,5,0,0.0,0.0
Nebraska,2014,6,0,0.0,0.0
Nebraska,2014,7,0,0.0,0.0
Nebraska,2014,8,0,0.0,0.0
Nebraska,2014,9,0,0.0,0.0
Nebraska,2014,10,0,0.0,0.0
Nebraska,2014,11,6,4.75,6048.25
Nebraska,2014,12,0,0.0,0.0
New Hampshire,2014,0,177,97.0,8866733.5
New Hampshire,2014,1,0,0.0,0.0
New Hampshire,2014,2,0,0.0,0.0
New Hampshire,2014,3,0,0.0,0.0
New Hampshire,2014,4,0,0.0,0.0
New Hampshire,2014,5,0,0.0,0.0
New Hampshire,2014,6,0,0.0,0.0
New Hampshire,2014,7,0,0.0,0.0
New Hampshire,2014,8,0,0.0,0.0
New Hampshire,2014,9,0,0.0,0.0
New Hampshire,2014,10,0,0.0,0.0
New Hampshire,2014,11,93,97.0,8724880.0
New Hampshire,2014,12,84,8.0,141853.5
New Jersey,2014,0,355,30.0,476703.0
New Jersey,2014,1,0,0.0,0.0
New Jersey,2014,2,0,0.0,0.0
New Jersey,2014,3,0,0.0,0.0
New Jersey,2014,4,0,0.0,0.0
New Jersey,2014,5,0,0.0,0.0
New Jersey,2014,6,0,0.0,0.0
New Jersey,2014,7,0,0.0,0.0
New Jersey,2014,8,0,0.0,0.0
New Jersey,2014,9,0,0.0,0.0
New Jersey,2014,10,0,0.0,0.0
New Jersey,2014,11,204,30.0,276920.5
New Jersey,2014,12,151,10.25,199782.5
New Mexico,2014,0,18,3.75,28847.25
New Mexico,2014,1,0,0.0,0.0
New Mexico,2014,2,0,0.0,0.0
New Mexico,2014,3,0,0.0,0.0
New Mexico,2014,4,0,0.0,0.0
New Mexico,2014,5,0,0.0,0.0
New Mexico,2014,6,0,0.0,0.0
New Mexico,2014,7,0,0.0,0.0
New Mexico,2014,8,0,0.0,0.0
New Mexico,2014,9,0,0.0,0.0
New Mexico,2014,10,0,0.0,0.0
New Mexico,2014,11,14,3.75,18384.75
New Mexico,2014,12,4,3.0,10462.5
New York,2014,0,703,65.0,3316326.0
New York,2014,1,0,0.0,0.0
New York,2014,2,0,0.0,0.0
New York,2014,3,0,0.0,0.0
New York,2014,4,0,0.0,0.0
New York,2014,5,0,0.0,0.0
New York,2014,6,0,0.0,0.0
New York,2014,7,0,0.0,0.0
New York,2014,8,0,0.0,0.0
New York,2014,9,0,0.0,0.0
New York,2014,10,0,0.0,0.0
New York,2014,11,337,65.0,2330273.5
New York,2014,12,366,38.75,986052.5
North Carolina,2014,0,400,16.5,614265.75
North Carolina,2014,1,0,0.0,0.0
North Carolina,2014,2,0,0.0,0.0
North Carolina,2014,3,0,0.0,0.0
North Carolina,2014,4,0,0.0,0.0
North Carolina,2014,5,0,0.0,0.0
North Carolina,2014,6,0,0.0,0.0
North Carolina,2014,7,0,0.0,0.0
North Carolina,2014,8,0,0.0,0.0
North Carolina,2014,9,0,0.0,0.0
North Carolina,2014,10,0,0.0,0.0
North Carolina,2014,11,237,16.5,353761.0
North Carolina,2014,12,163,13.75,260504.75
North Dakota,2014,0,1,4.5,1131.75
North Dakota,2014,1,0,0.0,0.0
North Dakota,2014,2,0,0.0,0.0
North Dakota,2014,3,0,0.0,0.0
North Dakota,2014,4,0,0.0,0.0
North Dakota,2014,5,0,0.0,0.0
North Dakota,2014,6,0,0.0,0.0
North Dakota,2014,7,0,0.0,0.0
North Dakota,2014,8,0,0.0,0.0
North Dakota,2014,9,0,0.0,0.0
North Dakota,2014,10,0,0.0,0.0
North Dakota,2014,11,1,4.5,1131.75
North Dakota,2014,12,0,0.0,0.0
Ohio,2014,0,908,54.75,2050300.0
Ohio,2014,1,0,0.0,0.0
Ohio,2014,2,0,0.0,0.0
Ohio,2014,3,0,0.0,0.0
Ohio,2014,4,0,0.0,0.0
Ohio,2014,5,0,0.0,0.0
Ohio,2014,6,0,0.0,0.0
Ohio,2014,7,0,0.0,0.0
Ohio,2014,8,0,0.0,0.0
Ohio,2014,9,0,0.0,0.0
Ohio,2014,10,0,0.0,0.0
Ohio,2014,11,632,54.75,1629432.75
Ohio,2014,12,276,10.25,420867.25
Oklahoma,2014,0,182,14.75,232531.0
Oklahoma,2014,1,0,0.0,0.0
Oklahoma,2014,2,0,0.0,0.0
Oklahoma,2014,3,0,0.0,0.0
Oklahoma,2014,4,0,0.0,0.0
Oklahoma,2014,5,0,0.0,0.0
Oklahoma,2014,6,0,0.0,0.0
Oklahoma,2014,7,0,0.0,0.0
Oklahoma,2014,8,0,0.0,0.0
Oklahoma,2014,9,0,0.0,0.0
Oklahoma,2014,10,0,0.0,0.0
Oklahoma,2014,11,127,9.0,154670.25
Oklahoma,2014,12,55,14.75,77860.75
Oregon,2014,0,107,58.0,1797386.25
Oregon,2014,1,0,0.0,0.0
Oregon,2014,2,0,0.0,0.0
Oregon,2014,3,0,0.0,0.0
Oregon,2014,4,0,0.0,0.0
Oregon,2014,5,0,0.0,0.0
Oregon,2014,6,0,0.0,0.0
Oregon,2014,7,0,0.0,0.0
Oregon,2014,8,0,0.0,0.0
Oregon,2014,9,0,0.0,0.0
Oregon,2014,10,0,0.0,0.0
Oregon,2014,11,57,58.0,772710.25
Oregon,2014,12,50,44.0,1024676.0
Pennsylvania,2014,0,922,58.75,1987817.5
Pennsylvania,2014,1,0,0.0,0.0
Pennsylvania,2014,2,0,0.0,0.0
Pennsylvania,2014,3,0,0.0,0.0
Pennsylvania,2014,4,0,0.0,0.0
Pennsylvania,2014,5,0,0.0,0.0
Pennsylvania,2014,6,0,0.0,0.0
Pennsylvania,2014,7,0,0.0,0.0
Pennsylvania,2014,8,0,0.0,0.0
Pennsylvania,2014,9,0,0.0,0.0
Pennsylvania,2014,10,0,0.0,0.0
Pennsylvania,2014,11,554,58.75,1508301.5
Pennsylvania,2014,12,368,19.25,479516.0
Rhode Island,2014,0,36,10.25,49037.0
Rhode Island,2014,1,0,0.0,0.0
Rhode Island,2014,2,0,0.0,0.0
Rhode Island,2014,3,0,0.0,0.0
Rhode Island,2014,4,0,0.0,0.0
Rhode Island,2014,5,0,0.0,0.0
Rhode Island,2014,6,0,0.0,0.0
Rhode Island,2014,7,0,0.0,0.0
Rhode Island,2014,8,0,0.0,0.0
Rhode Island,2014,9,0,0.0,0.0
Rhode Island,2014,10,0,0.0,0.0
Rhode Island,2014,11,27,10.25,28119.75
Rhode Island,2014,12,9,2.25,20917.25
South Carolina,2014,0,190,18.75,390600.25
South Carolina,2014,1,0,0.0,0.0
South Carolina,2014,2,0,0.0,0.0
South Carolina,2014,3,0,0.0,0.0
South Carolina,2014,4,0,0.0,0.0
South Carolina,2014,5,0,0.0,0.0
South Carolina,2014,6,0,0.0,0.0
South Carolina,2014,7,0,0.0,0.0
South Carolina,2014,8,0,0.0,0.0
South Carolina,2014,9,0,0.0,0.0
South Carolina,2014,10,0,0.0,0.0
South Carolina,2014,11,117,18.75,313104.25
South Carolina,2014,12,73,10.25,77496.0
South Dakota,2014,0,5,3.75,6757.0
South Dakota,2014,1,0,0.0,0.0
South Dakota,2014,2,0,0.0,0.0
South Dakota,2014,3,0,0.0,0.0
South Dakota,2014,4,0,0.0,0.0
South Dakota,2014,5,0,0.0,0.0
South Dakota,2014,6,0,0.0,0.0
South Dakota,2014,7,0,0.0,0.0
South Dakota,2014,8,0,0.0,0.0
South Dakota,2014,9,0,0.0,0.0
South Dakota,2014,10,0,0.0,0.0
South Dakota,2014,11,4,3.75,6165.75
South Dakota,2014,12,1,0.5,591.25
Tennessee,2014,0,181,19.75,250016.5
Tennessee,2014,1,0,0.0,0.0
Tennessee,2014,2,0,0.0,0.0
Tennessee,2014,3,0,0.0,0.0
Tennessee,2014,4,0,0.0,0.0
Tennessee,2014,5,0,0.0,0.0
Tennessee,2014,6,0,0.0,0.0
Tennessee,2014,7,0,0.0,0.0
Tennessee,2014,8,0,0.0,0.0
Tennessee,2014,9,0,0.0,0.0
Tennessee,2014,10,0,0.0,0.0
Tennessee,2014,11,95,19.75,148783.25
Tennessee,2014,12,86,15.25,101233.25
Texas,2014,0,1664,136.0,2496748.0
Texas,2014,1,0,0.0,0.0
Texas,2014,2,0,0.0,0.0
Texas,2014,3,0,0.0,0.0
Texas,2014,4,0,0.0,0.0
Texas,2014,5,0,0.0,0.0
Texas,2014,6,0,0.0,0.0
Texas,2014,7,0,0.0,0.0
Texas,2014,8,0,0.0,0.0
Texas,2014,9,0,0.0,0.0
Texas,2014,10,0,0.0,0.0
Texas,2014,11,1062,136.0,1746304.5
Texas,2014,12,602,24.75,750443.5
Vermont,2014,0,164,102.0,2462484.25
Vermont,2014,1,0,0.0,0.0
Vermont,2014,2,0,0.0,0.0
Vermont,2014,3,0,0.0,0.0
Vermont,2014,4,0,0.0,0.0
Vermont,2014,5,0,0.0,0.0
Vermont,2014,6,0,0.0,0.0
Vermont,2014,7,0,0.0,0.0
Vermont,2014,8,0,0.0,0.0
Vermont,2014,9,0,0.0,0.0
Vermont,2014,10,0,0.0,0.0
Vermont,2014,11,47,25.75,99843.5
Vermont,2014,12,117,102.0,2362640.75
Virginia,2014,0,261,52.75,650291.25
Virginia,2014,1,0,0.0,0.0
Virginia,2014,2,0,0.0,0.0
Virginia,2014,3,0,0.0,0.0
Virginia,2014,4,0,0.0,0.0
Virginia,2014,5,0,0.0,0.0
Virginia,2014,6,0,0.0,0.0
Virginia,2014,7,0,0.0,0.0
Virginia,2014,8,0,0.0,0.0
Virginia,2014,9,0,0.0,0.0
Virginia,2014,10,0,0.0,0.0
Virginia,2014,11,178,52.75,561249.5
Virginia,2014,12,83,11.5,89041.75
Washington,2014,0,67,15.75,302229.5
Washington,2014,1,0,0.0,0.0
Washington,2014,2,0,0.0,0.0
Washington,2014,3,0,0.0,0.0
Washington,2014,4,0,0.0,0.0
Washington,2014,5,0,0.0,0.0
Washington,2014,6,0,0.0,0.0
Washington,2014,7,0,0.0,0.0
Washington,2014,8,0,0.0,0.0
Washington,2014,9,0,0.0,0.0
Washington,2014,10,0,0.0,0.0
Washington,2014,11,36,15.75,143016.5
Washington,2014,12,31,14.75,159213.0
West Virginia,2014,0,530,55.0,1497620.0
West Virginia,2014,1,0,0.0,0.0
West Virginia,2014,2,0,0.0,0.0
West Virginia,2014,3,0,0.0,0.0
West Virginia,2014,4,0,0.0,0.0
West Virginia,2014,5,0,0.0,0.0
West Virginia,2014,6,0,0.0,0.0
West Virginia,2014,7,0,0.0,0.0
West Virginia,2014,8,0,0.0,0.0
West Virginia,2014,9,0,0.0,0.0
West Virginia,2014,10,0,0.0,0.0
West Virginia,2014,11,346,55.0,1164470.25
West Virginia,2014,12,184,16.75,333149.75
Wisconsin,2014,0,133,21.75,261547.75
Wisconsin,2014,1,0,0.0,0.0
Wisconsin,2014,2,0,0.0,0.0
Wisconsin,2014,3,0,0.0,0.0
Wisconsin,2014,4,0,0.0,0.0
Wisconsin,2014,5,0,0.0,0.0
Wisconsin,2014,6,0,0.0,0.0
Wisconsin,2014,7,0,0.0,0.0
Wisconsin,2014,8,0,0.0,0.0
Wisconsin,2014,9,0,0.0,0.0
Wisconsin,2014,10,0,0.0,0.0
Wisconsin,2014,11,72,7.25,65696.75
Wisconsin,2014,12,61,21.75,195851.0
Wyoming,2014,0,1,16.5,5428.5
Wyoming,2014,1,0,0.0,0.0
Wyoming,2014,2,0,0.0,0.0
Wyoming,2014,3,0,0.0,0.0
Wyoming,2014,4,0,0.0,0.0
Wyoming,2014,5,0,0.0,0.0
Wyoming,2014,6,0,0.0,0.0
Wyoming,2014,7,0,0.0,0.0
Wyoming,2014,8,0,0.0,0.0
Wyoming,2014,9,0,0.0,0.0
Wyoming,2014,10,0,0.0,0.0
Wyoming,2014,11,1,16.5,5428.5
Wyoming,2014,12,0,0.0,0.0
Alabama,2015,0,338,25.0,424475.0
Alabama,2015,1,15,3.0,15911.75
Alabama,2015,2,12,6.25,10030.0
Alabama,2015,3,19,25.0,37367.5
Alabama,2015,4,13,5.0,11394.75
Alabama,2015,5,37,6.5,39230.0
Alabama,2015,6,46,4.0,21364.0
Alabama,2015,7,41,6.25,32558.25
Alabama,2015,8,22,6.0,11754.75
Alabama,2015,9,36,6.25,108274.75
Alabama,2015,10,14,4.75,11046.5
Alabama,2015,11,25,9.75,44009.5
Alabama,2015,12,58,7.25,81533.25
Alaska,2015,0,30,34.0,96155.0
Alaska,2015,1,0,0.0,0.0
Alaska,2015,2,0,0.0,0.0
Alaska,2015,3,0,0.0,0.0
Alaska,2015,4,0,0.0,0.0
Alaska,2015,5,0,0.0,0.0
Alaska,2015,6,0,0.0,0.0
Alaska,2015,7,4,15.0,12833.5
Alaska,2015,8,6,2.5,12890.0
Alaska,2015,9,3,2.75,2260.25
Alaska,2015,10,2,4.25,3973.5
Alaska,2015,11,10,34.0,40535.0
Alaska,2015,12,5,13.75,23662.75
Arizona,2015,0,334,24.0,947067.25
Arizona,2015,1,2,7.25,12927.5
Arizona,2015,2,1,0.25,104.0
Arizona,2015,3,2,4.25,5350.5
Arizona,2015,4,1,1.5,1772.25
Arizona,2015,5,2,1.75,7368.0
Arizona,2015,6,2,2.0,2285.0
Arizona,2015,7,4,1.5,2186.5
Arizona,2015,8,90,21.75,234469.25
Arizona,2015,9,62,24.0,297691.75
Arizona,2015,10,74,11.75,218645.5
Arizona,2015,11,44,7.75,81195.25
Arizona,2015,12,50,5.0,83071.75
Arkansas,2015,0,2164,43.5,4804644.0
Arkansas,2015,1,98,10.25,157820.75
Arkansas,2015,2,141,34.0,734746.0
Arkansas,2015,3,113,20.0,198131.25
Arkansas,2015,4,163,15.5,334279.5
Arkansas,2015,5,328,43.5,1257431.75
Arkansas,2015,6,252,22.0,407028.5
Arkansas,2015,7,235,26.25,380286.5
Arkansas,2015,8,179,21.0,283769.0
Arkansas,2015,9,110,8.5,140474.5
Arkansas,2015,10,159,9.75,158932.0
Arkansas,2015,11,190,33.25,461975.25
Arkansas,2015,12,196,16.0,289769.0
California,2015,0,6103,223.5,35584382.0
California,2015,1,417,75.75,2659373.5
California,2015,2,394,120.0,2437466.25
California,2015,3,510,57.25,2448658.75
California,2015,4,583,53.5,2113243.25
California,2015,5,674,53.0,2228536.0
California,2015,6,857,67.5,3005435.75
California,2015,7,611,80.5,3639863.75
California,2015,8,412,174.0,2918958.0
California,2015,9,431,158.0,4037636.75
California,2015,10,402,223.5,3834203.25
California,2015,11,396,211.75,4094659.75
California,2015,12,416,58.0,2166347.0
Colorado,2015,0,1523,77.75,2443098.25
Colorado,2015,1,19,4.75,15336.0
Colorado,2015,2,4,2.25,2103.5
Colorado,2015,3,17,3.5,18478.25
Colorado,2015,4,22,15.25,53664.0
Colorado,2015,5,157,18.75,293336.75
Colorado,2015,6,291,15.75,653539.75
Colorado,2015,7,241,44.25,206531.0
Colorado,2015,8,197,11.0,290002.0
